"Giannis Antetokounmpo","MIL",11.5
"James Harden","HOU",9.6
"Kawhi Leonard","LAC",8.9
"LeBron James","LAL",8.4
"Luka Dončić","DAL",8.4
"Anthony Davis","LAL",8.
"Karl-Anthony Towns","MIN",7.8
"Kyrie Irving","BRK",7.7
"Damian Lillard","POR",7.5
"Nikola Jokić","DEN",7.4
"Jimmy Butler","MIA",5.4
"Paul George","LAC",4.9
"Joel Embiid","PHI",4.7
"Kemba Walker","BOS",4.6
"Chris Paul","OKC",4.4
"Nikola Vučević","ORL",4.2
"Khris Middleton","MIL",4.1
"Jayson Tatum","BOS",4.
"Trae Young","ATL",3.9
"Stephen Curry","GSW",3.9
"Ben Simmons","PHI",3.6
"Rudy Gobert","UTA",3.6
"Bam Adebayo","MIA",3.4
"Danilo Gallinari","OKC",3.3
"Hassan Whiteside","POR",3.2
"Domantas Sabonis","IND",3.2
"Kyle Lowry","TOR",3.2
"John Collins","ATL",3.1
"Montrezl Harrell","LAC",2.9
"Bradley Beal","WAS",2.9
"Steven Adams","OKC",2.9
"Fred VanVleet","TOR",2.7
"Gordon Hayward","BOS",2.7
"D'Angelo Russell","GSW",2.6
"Jae Crowder","MIA",2.5
"Jonas Valančiūnas","MEM",2.4
"Zach LaVine","CHI",2.4
"Jonathan Isaac","ORL",2.3
"Jarrett Allen","BRK",2.3
"Derrick Rose","DET",2.2
"Al Horford","PHI",2.2
"Devin Booker","PHO",2.2
"Patrick Beverley","LAC",2.2
"Zion Williamson","NOP",2.1
"Brandon Ingram","NOP",2.1
"Norman Powell","TOR",2.
"Jusuf Nurkić","POR",2.
"Kevin Love","CLE",2.
"Brook Lopez","MIL",2.
"D'Angelo Russell","TOT",1.9
"Kristaps Porziņģis","DAL",1.9
"Donovan Mitchell","UTA",1.9
"DeMar DeRozan","SAS",1.9
"Pascal Siakam","TOR",1.8
"Jrue Holiday","NOP",1.8
"De'Aaron Fox","SAC",1.8
"Spencer Dinwiddie","BRK",1.8
"Malcolm Brogdon","IND",1.8
"Eric Bledsoe","MIL",1.8
"Larry Nance Jr.","CLE",1.7
"Shai Gilgeous-Alexander","OKC",1.7
"Nemanja Bjelica","SAC",1.7
"Marc Gasol","TOR",1.6
"Russell Westbrook","HOU",1.5
"Marcus Smart","BOS",1.4
"Clint Capela","HOU",1.4
"LaMarcus Aldridge","SAS",1.4
"Dwight Powell","DAL",1.3
"Justin Holiday","IND",1.3
"Jamal Murray","DEN",1.2
"OG Anunoby","TOR",1.2
"T.J. Warren","IND",1.1
"Buddy Hield","SAC",1.1
"Andre Drummond","DET",1.1
"Will Barton","DEN",1.1
"Ricky Rubio","PHO",1.
"Richaun Holmes","SAC",1.
"Evan Fournier","ORL",1.
"Royce O'Neale","UTA",0.9
"Andre Drummond","TOT",0.9
"Dāvis Bertāns","WAS",0.9
"Lou Williams","LAC",0.8
"Tobias Harris","PHI",0.8
"Jaylen Brown","BOS",0.8
"Mikal Bridges","PHO",0.8
"J.J. Redick","NOP",0.7
"Marcus Morris","NYK",0.7
"Joe Ingles","UTA",0.7
"Bogdan Bogdanović","SAC",0.6
"Lonzo Ball","NOP",0.6
"Duncan Robinson","MIA",0.5
"CJ McCollum","POR",0.5
"Devonte' Graham","CHO",0.5
"Alec Burks","TOT",0.5
"Dejounte Murray","SAS",0.4
"Maxi Kleber","DAL",0.4
"Jaren Jackson Jr.","MEM",0.4
"Deandre Ayton","PHO",0.4
"Ja Morant","MEM",0.3
"Mike Conley","UTA",0.3
"Myles Turner","IND",0.1
"D'Angelo Russell","MIN",0.1
"Serge Ibaka","TOR",0.1
"Robert Covington","HOU",0.1
"Alec Burks","GSW",0.1
"Bojan Bogdanović","UTA",0.1
"Dennis Schröder","OKC",0.
"Elfrid Payton","NYK",0.
"Jabari Parker","ATL",0.
"Aaron Gordon","ORL",0.
"Robert Covington","TOT",0.
"Robert Covington","MIN",0.
"Marcus Morris","TOT",-0.1
"Tim Hardaway Jr.","DAL",-0.1
"Goran Dragić","MIA",-0.1
"Jae Crowder","TOT",-0.1
"Andrew Wiggins","GSW",-0.2
"Joe Harris","BRK",-0.2
"Draymond Green","GSW",-0.2
"Dorian Finney-Smith","DAL",-0.2
"Andrew Wiggins","TOT",-0.3
"Julius Randle","NYK",-0.3
"Caris LeVert","BRK",-0.3
"Luke Kennard","DET",-0.3
"Andrew Wiggins","MIN",-0.4
"Terry Rozier","CHO",-0.4
"Terrence Ross","ORL",-0.4
"Jeremy Lamb","IND",-0.4
"Andre Drummond","CLE",-0.4
"Trevor Ariza","POR",-0.4
"Kelly Oubre Jr.","PHO",-0.5
"Reggie Jackson","DET",-0.5
"Jerami Grant","DEN",-0.5
"Trevor Ariza","TOT",-0.5
"Jeff Teague","MIN",-0.6
"Lauri Markkanen","CHI",-0.6
"Danuel House","HOU",-0.7
"Josh Hart","NOP",-0.7
"Malik Beasley","MIN",-0.7
"Langston Galloway","DET",-0.8
"Kentavious Caldwell-Pope","LAL",-0.8
"Rodney Hood","POR",-0.9
"Garrett Temple","BRK",-1.1
"Jae Crowder","MEM",-1.2
"Bruce Brown","DET",-1.2
"Ish Smith","WAS",-1.3
"Tomáš Satoranský","CHI",-1.3
"Troy Brown Jr.","WAS",-1.3
"Harrison Barnes","SAC",-1.3
"Tristan Thompson","CLE",-1.5
"Juan Hernangómez","MIN",-1.5
"P.J. Washington","CHO",-1.6
"Kevin Huerter","ATL",-1.6
"Tyler Herro","MIA",-1.6
"Glenn Robinson III","TOT",-1.7
"Glenn Robinson III","GSW",-1.7
"Tony Snell","DET",-1.8
"Collin Sexton","CLE",-1.8
"Josh Richardson","PHI",-1.8
"Markelle Fultz","ORL",-1.8
"P.J. Tucker","HOU",-1.9
"Landry Shamet","LAC",-2.1
"Marcus Morris","LAC",-2.2
"Kendrick Nunn","MIA",-2.3
"Damion Lee","GSW",-2.3
"Wendell Carter Jr.","CHI",-2.4
"Gary Harris","DEN",-2.5
"Miles Bridges","CHO",-2.5
"Cedi Osman","CLE",-2.6
"Kyle Kuzma","LAL",-2.6
"Eric Paschall","GSW",-2.7
"Bryn Forbes","SAS",-2.7
"Coby White","CHI",-2.8
"Taurean Prince","BRK",-2.9
"Zach Collins","POR",-3.1
"Rui Hachimura","WAS",-3.2
"Kent Bazemore","POR",-3.2
"Victor Oladipo","IND",-3.3
"Justise Winslow","MIA",-3.5
"Marvin Bagley III","SAC",-3.5
"Carmelo Anthony","POR",-3.6
"Eric Gordon","HOU",-3.9
"Dillon Brooks","MEM",-4.1
"Cam Reddish","ATL",-4.2
"Blake Griffin","DET",-4.3
"RJ Barrett","NYK",-4.3
"De'Andre Hunter","ATL",-4.7
"Darius Garland","CLE",-5.6
"Mychal Mulder","GSW",-6.1
